Time,AAPL,AMZN,BRK-B,GOOGL,JNJ,MSFT,NVDA,UNH,V,XOM
824,0.0,0.2185997,0.0,0.0,0.0,0.0,0.0,0.0,0.64555365,0.13584667
825,0.12630421,0.37663367,0.2116442,0.0,0.0,0.0,0.0,0.0,0.0,0.28541788
826,0.0,0.29558402,0.29558402,0.0,0.091556564,0.29558402,0.0,0.0,0.021691347,0.0
827,0.22720674,0.38639665,0.0,0.0,0.0,0.0,0.38639665,0.0,0.0,0.0
828,0.0,0.0,0.0,0.0,0.0,0.14308807,0.28628838,0.0,0.5706236,0.0
829,0.052217063,0.54824,0.0,0.0,0.0,0.39954293,0.0,0.0,0.0,0.0
830,0.0,0.4196876,0.0,0.0,0.0,0.06781512,0.09999126,0.0,0.14313664,0.26936936
831,0.0,0.39954337,0.36013445,0.0,0.0,0.0,0.0,0.0,0.24032219,0.0
832,0.11825293,0.20963143,0.16962007,0.0,0.0,0.20963143,0.20963143,0.0,0.0,0.08323279
833,0.0,0.51797336,0.3500541,0.0,0.0,0.0,0.13197254,0.0,0.0,0.0
834,0.0,0.40411237,0.07651358,0.0,0.0,0.12587582,0.3934983,0.0,0.0,0.0
835,0.2273418,0.098491915,0.055437665,0.0,0.0,0.0,0.2273418,0.0,0.16404496,0.2273418
836,0.00054313766,0.53730386,0.0,0.0,0.0,0.0,0.10624396,0.0,0.19141454,0.16449453
837,0.0,0.42716208,0.08848608,0.0,0.0,0.413148,0.0,0.0,0.0,0.07120376
838,0.35819662,0.0,0.5364833,0.0,0.0,0.0,0.105320215,0.0,0.0,0.0
839,0.18615387,0.06261732,0.17095962,0.0,0.0,0.021807529,0.18615387,0.0,0.18615387,0.18615387
840,0.0,0.2829923,0.19268134,0.0,0.108367555,0.0,0.2829923,0.0,0.069371514,0.063595
841,0.06462779,0.22757323,0.051723648,0.0,0.0,0.27140793,0.06554335,0.31912407,0.0,0.0
842,0.0,0.20769738,0.20769738,0.0,0.0,0.1779527,0.0,0.0,0.20769738,0.19895521
